시군구명,x,y,광역시도,행정구역,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원도 횡성군,10,5,강원도,횡성군,"45,961","45,496","45,198","44,306","44,297","43,678","42,982","43,176","43,413","44,121","44,254","44,360","44,615","44,937","45,373","45,777","45,991","46,281","46,726","46,575","46,472","46,481","46,532","46,359","46,111"
강원도 영월군,10,8,강원도,영월군,"48,393","52,101","45,273","44,027","42,406","41,538","40,511","40,290","40,201","40,265","40,407","40,199","40,155","40,150","40,191","40,216","40,073","40,067","39,730","39,127","38,662","37,904","37,728","37,332","36,721"
강원도 평창군,10,6,강원도,평창군,"47,125","46,478","46,262","46,375","45,311","45,033","44,332","44,003","43,706","43,634","43,622","43,577","43,627","43,666","43,660","43,500","43,318","43,092","42,610","42,106","41,681","40,996","40,990","40,659","40,396"
강원도 정선군,11,6,강원도,정선군,"50,572","49,048","51,226","46,225","45,419","44,203","43,186","41,806","41,269","40,708","41,045","40,181","39,915","39,985","39,425","39,197","38,718","38,173","37,700","37,271","36,870","35,675","34,931","34,202","33,515"
강원도 철원군,6,0,강원도,철원군,"53,190","52,072","50,532","50,212","49,650","48,933","48,024","47,420","47,724","47,669","48,928","48,084","47,968","47,473","47,590","48,799","48,013","47,185","46,413","45,584","44,699","43,340","42,256","41,448","40,497"
강원도 화천군,7,0,강원도,화천군,"25,188","24,965","24,088","24,540","24,267","23,732","23,317","22,944","24,110","24,216","24,364","24,945","25,020","25,079","27,143","27,020","26,264","26,022","25,084","24,917","24,857","24,195","23,388","23,007","22,922"
강원도 양구군,8,0,강원도,양구군,"23,420","23,198","22,527","21,995","21,692","21,480","21,269","21,401","21,303","21,323","21,843","22,285","22,799","23,594","23,888","24,089","24,010","23,835","23,408","22,764","22,278","21,748","21,383","21,056","20,621"
강원도 인제군,9,2,강원도,인제군,"33,618","33,092","32,447","32,092","32,443","32,811","32,493","32,079","31,620","31,452","31,842","31,970","32,456","32,517","32,475","33,255","32,720","32,582","32,136","31,672","31,694","32,165","32,206","32,020","31,535"
강원도 고성군,9,0,강원도,고성군,"35,391","34,643","33,721","32,739","32,361","31,964","31,285","30,383","30,172","30,272","30,112","30,057","30,124","30,398","30,269","30,060","30,114","30,029","28,144","27,260","26,757","27,249","27,274","27,305","26,999"
강원도 양양군,10,2,강원도,양양군,"30,141","30,180","30,076","29,480","29,187","29,132","28,661","28,472","28,115","27,957","27,929","27,942","27,802","27,659","27,521","27,479","27,218","27,207","27,347","27,726","27,946","27,913","27,866","27,710","27,489"
충청북도 청주시,6,12,충청북도,청주시,"580,861","592,504","603,941","615,155","624,288","630,939","626,679","633,286","638,663","643,161","655,971","661,946","666,852","672,904","831,521","831,912","835,197","835,590","837,749","839,566","844,993","848,482","849,573","852,189","854,537"
충청북도 충주시,6,10,충청북도,충주시,"217,305","215,249","211,980","209,138","207,534","205,907","204,610","205,064","206,372","206,613","208,481","208,433","208,447","208,115","208,527","207,913","208,350","208,316","210,504","210,737","210,186","209,358","208,277","207,778","207,241"
충청북도 제천시,8,10,충청북도,제천시,"147,950","144,968","143,231","140,676","138,872","138,201","136,398","136,218","135,738","135,580","137,264","137,689","137,521","137,204","136,805","136,138","136,517","136,432","135,386","134,617","133,018","131,591","130,988","130,194","128,569"
충청북도 보은군,7,12,충청북도,보은군,"43,245","42,082","40,420","38,973","38,062","37,114","36,293","35,354","35,069","34,845","34,956","34,717","34,438","34,318","34,240","34,296","34,221","34,053","33,680","32,949","32,412","31,878","31,455","31,010","30,527"
충청북도 옥천군,6,13,충청북도,옥천군,"60,798","59,515","58,461","57,505","56,634","55,610","54,923","54,608","54,475","54,117","54,025","53,496","53,244","52,763","52,469","52,404","52,267","51,766","51,465","51,023","50,527","50,093","49,520","48,891","48,204"
충청북도 영동군,6,14,충청북도,영동군,"58,627","57,184","55,752","54,036","52,597","51,800","50,819","50,131","50,276","50,426","50,523","50,621","50,663","50,539","50,803","50,693","50,552","50,240","49,715","48,738","47,475","45,773","44,956","44,195","43,551"
충청북도 증평군,6,11,충청북도,증평군,"32,286","31,392","30,738","31,310","30,899","30,607","30,483","31,145","32,179","33,164","33,533","34,009","34,279","34,546","34,771","36,671","37,308","37,783","37,317","37,392","36,807","36,426","37,262","37,484","37,171"
충청북도 진천군,5,11,충청북도,진천군,"60,121","60,309","59,699","59,724","60,347","60,155","60,111","60,154","60,715","61,456","62,094","63,051","63,458","64,606","65,174","67,981","69,950","73,677","78,218","81,084","83,718","85,176","86,147","86,254","86,537"
충청북도 괴산군,7,11,충청북도,괴산군,"44,380","43,126","41,827","40,411","39,586","38,595","37,570","36,873","36,566","36,775","36,827","37,333","37,713","38,059","38,351","38,787","38,973","39,054","39,133","39,163","39,393","38,122","37,055","36,590","36,252"
충청북도 음성군,5,10,충청북도,음성군,"87,956","87,289","86,562","85,771","85,638","85,969","86,789","88,355","89,542","89,716","91,093","91,644","92,980","93,505","95,324","96,396","97,787","97,306","95,830","94,982","93,153","92,197","92,058","91,183","91,236"
충청북도 단양군,7,10,충청북도,단양군,"40,000","38,721","37,320","35,701","34,743","34,122","33,346","32,399","31,929","31,842","31,817","31,595","31,253","31,171","30,948","30,761","30,503","30,215","30,255","29,756","29,155","28,331","27,767","27,701","27,352"
충청남도 천안시,4,9,충청남도,천안시,"421,418","432,534","441,243","456,501","503,082","512,482","523,323","531,956","537,698","540,832","557,673","571,377","581,988","591,089","598,346","605,776","617,955","631,531","646,075","652,258","658,808","658,486","657,559","655,959","659,920"
충청남도 공주시,4,10,충청남도,공주시,"135,589","133,978","132,584","130,957","130,280","129,489","128,330","126,612","125,143","124,172","124,930","124,748","117,298","116,369","113,621","111,261","109,931","108,432","107,581","106,474","104,545","103,145","102,571","102,104","101,285"
충청남도 보령시,2,11,충청남도,보령시,"118,504","116,306","113,365","110,380","108,861","108,056","107,591","107,637","106,885","106,754","107,346","106,421","105,559","104,938","104,321","104,754","103,873","103,198","101,990","101,114","100,229","98,408","97,157","95,772","93,780"
충청남도 아산시,3,9,충청남도,아산시,"184,191","186,469","191,123","193,122","200,938","204,431","211,560","221,490","240,942","256,449","265,191","274,523","280,490","287,073","293,954","297,737","302,929","311,453","312,822","314,395","316,129","324,580","334,539","345,796","355,014"
충청남도 서산시,1,10,충청남도,서산시,"150,028","150,116","148,150","151,818","150,131","150,294","150,889","153,569","156,867","158,886","160,468","161,489","163,315","165,837","167,611","170,099","170,788","171,678","174,162","174,690","175,591","176,645","176,413","176,011","174,445"
충청남도 논산시,3,12,충청남도,논산시,"142,390","140,287","137,419","135,719","135,572","134,217","131,466","129,486","127,797","127,097","127,507","127,533","126,653","125,844","124,784","124,232","123,213","122,240","120,230","118,842","116,675","114,483","112,617","110,423","108,529"
충청남도 계룡시,4,12,충청남도,계룡시,"27,505","28,775","29,830","31,058","31,174","34,370","36,846","37,775","41,411","42,760","43,088","42,942","41,550","40,957","40,552","41,730","42,634","43,967","43,731","42,971","42,822","43,331","44,475","46,667","46,540"
충청남도 당진시,2,9,충청남도,당진시,"122,495","120,445","118,395","116,477","117,510","120,483","124,925","136,254","136,432","138,798","144,903","150,219","155,104","159,615","162,844","165,122","166,630","167,439","167,770","167,042","166,249","167,092","168,253","170,302","171,931"
충청남도 금산군,3,13,충청남도,금산군,"64,515","62,985","61,350","60,740","60,048","58,378","57,552","57,690","56,740","56,220","56,555","56,030","55,715","55,441","55,166","54,879","54,612","53,894","53,222","52,257","51,413","50,477","50,092","50,093","49,615"
충청남도 부여군,2,12,충청남도,부여군,"92,667","90,373","88,014","85,275","83,260","81,430","79,595","77,916","76,687","75,564","75,029","74,004","73,259","72,547","71,754","71,143","70,187","69,086","68,078","66,740","65,354","63,774","62,343","61,046","59,550"
충청남도 서천군,2,13,충청남도,서천군,"75,259","72,787","70,116","67,414","65,650","64,322","62,629","61,168","60,507","60,066","60,085","59,541","58,920","58,441","57,713","56,910","56,012","55,175","53,922","52,805","51,866","50,745","49,964","49,116","48,204"
충청남도 청양군,3,11,충청남도,청양군,"41,025","40,029","38,588","36,992","35,626","34,921","34,086","33,604","33,062","32,613","32,541","32,291","32,087","32,155","32,248","32,485","32,753","32,837","32,296","31,717","30,948","30,440","30,266","30,168","29,658"
충청남도 홍성군,2,10,충청남도,홍성군,"95,369","93,558","91,377","94,658","91,223","90,931","89,555","88,685","88,176","87,631","88,078","88,108","88,415","89,704","91,866","94,553","99,971","101,570","101,082","100,423","100,102","99,324","98,068","97,524","99,198"
충청남도 예산군,3,10,충청남도,예산군,"101,432","100,289","97,786","95,029","91,832","90,740","89,585","88,670","88,144","87,163","87,002","86,421","85,876","85,205","84,919","83,484","81,339","80,338","80,083","79,238","78,084","76,801","77,385","78,354","78,772"
충청남도 태안군,1,9,충청남도,태안군,"68,746","67,878","66,062","63,930","63,764","63,794","63,754","63,042","63,401","63,095","63,247","62,747","62,548","62,416","62,574","63,484","63,900","63,932","63,238","62,743","62,214","61,526","61,335","60,784","60,133"
전라북도 전주시,3,16,전라북도,전주시,"620,521","622,283","624,485","618,819","622,472","621,749","624,849","623,926","631,532","635,007","641,525","645,894","648,863","650,082","652,877","652,282","651,744","648,964","651,091","654,394","657,432","657,269","651,495","642,727","635,651"
전라북도 군산시,2,14,전라북도,군산시,"277,491","276,717","272,007","268,639","265,168","263,120","260,989","260,562","263,845","266,922","272,601","275,659","278,341","278,319","278,098","278,398","277,551","274,997","272,645","270,131","267,859","265,304","262,467","259,980","258,047"
전라북도 익산시,3,14,전라북도,익산시,"334,324","334,757","330,101","325,238","322,378","318,506","315,094","313,590","309,269","306,669","307,289","309,804","306,469","306,539","304,117","302,061","300,479","300,187","294,062","287,771","282,276","278,113","273,697","270,036","268,001"
전라북도 정읍시,2,16,전라북도,정읍시,"152,022","151,813","139,133","155,319","132,285","129,050","126,249","124,239","122,842","121,545","122,000","120,466","119,392","118,328","117,183","115,977","115,173","113,776","112,169","110,541","108,508","106,487","105,081","103,620","102,127"
