시군구명,x,y,광역시도,행정구역,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
경상북도 안동시,10,10,경상북도,안동시,"183,903","181,838","179,326","175,677","174,037","171,387","168,733","167,916","167,300","167,432","167,886","168,157","168,302","168,461","168,697","169,221","168,798","166,272","162,180","160,052","158,907","156,972","154,610","152,935","153,159"
경상북도 구미시,9,10,경상북도,구미시,"336,914","344,159","350,011","355,629","365,681","374,614","386,465","391,897","393,959","396,419","404,920","413,446","416,949","419,428","420,320","419,915","419,891","421,799","421,494","419,742","416,328","412,581","408,110","405,506","404,820"
경상북도 영주시,10,9,경상북도,영주시,"131,175","128,707","126,040","123,806","121,513","119,098","116,965","115,083","113,930","113,309","113,926","114,148","113,547","112,625","110,780","109,735","109,247","108,371","106,801","105,067","103,119","101,942","100,749","100,199","98,870"
경상북도 영천시,10,12,경상북도,영천시,"119,639","117,991","115,401","112,423","109,520","107,337","105,029","105,819","104,022","103,115","103,190","104,182","101,798","100,778","100,689","100,648","100,521","100,615","101,595","102,470","102,015","101,888","101,088","100,212","98,143"
경상북도 상주시,8,9,경상북도,상주시,"124,674","122,047","118,999","115,337","112,585","110,444","108,280","106,600","105,381","106,208","105,607","104,685","104,182","103,346","102,892","102,374","101,799","100,947","100,297","100,688","97,228","95,566","94,823","93,858","91,850"
경상북도 문경시,9,8,경상북도,문경시,"89,900","89,091","83,749","81,258","79,552","78,058","76,177","74,780","75,486","76,645","77,391","76,727","75,899","75,664","75,911","75,784","74,702","73,294","71,874","72,242","71,406","71,154","70,373","68,755","67,257"
경상북도 경산시,11,12,경상북도,경산시,"213,821","215,995","218,446","216,240","219,579","227,766","234,839","236,881","237,423","236,459","240,708","243,684","246,358","248,805","253,968","256,888","258,037","259,485","261,093","263,185","263,728","268,369","267,725","266,205","266,398"
경상북도 의성군,10,11,경상북도,의성군,"76,327","73,872","70,863","68,372","66,124","64,457","62,947","61,366","60,033","59,109","58,832","57,744","57,043","56,064","55,212","54,477","54,014","53,474","52,944","52,595","51,724","50,632","50,186","50,086","48,690"
경상북도 청송군,11,11,경상북도,청송군,"34,248","33,517","32,323","31,313","30,099","29,298","28,465","27,862","27,289","26,917","26,715","26,569","26,481","26,470","26,453","26,384","26,301","26,006","25,678","25,416","25,044","24,539","24,295","24,019","23,716"
경상북도 영양군,11,10,경상북도,영양군,"22,805","22,172","21,385","20,772","20,205","20,025","19,615","19,119","18,766","18,553","18,451","18,241","18,208","18,297","18,197","17,898","17,713","17,479","17,356","16,993","16,692","16,320","16,022","15,661","15,328"
경상북도 영덕군,12,10,경상북도,영덕군,"51,131","49,593","52,602","46,965","45,826","45,003","46,460","43,470","42,707","41,710","41,377","40,794","40,257","40,142","39,586","39,191","39,052","38,529","38,108","37,361","36,313","35,314","34,650","34,055","33,210"
경상북도 청도군,8,13,경상북도,청도군,"52,497","51,268","50,716","50,141","47,678","46,748","46,144","45,515","44,711","44,279","44,391","44,298","43,968","43,788","43,993","43,724","43,564","43,346","43,057","42,910","42,263","41,891","41,614","41,316","40,582"
경상북도 고령군,7,13,경상북도,고령군,"37,587","36,796","35,978","34,942","34,522","34,271","34,777","34,907","34,770","34,535","34,678","35,455","35,343","35,198","35,033","34,594","34,257","33,768","32,969","32,373","31,361","30,626","30,353","30,139","30,062"
경상북도 성주군,8,12,경상북도,성주군,"51,104","50,380","51,761","48,655","47,731","46,960","46,358","45,680","45,024","45,616","45,289","45,640","45,127","45,067","44,981","45,029","45,205","45,138","44,672","44,015","43,414","42,842","42,566","42,086","41,452"
경상북도 칠곡군,9,12,경상북도,칠곡군,"103,537","104,743","105,844","105,843","106,475","107,750","111,390","113,851","116,472","117,288","119,087","118,838","119,786","121,182","122,058","122,829","123,199","120,864","118,828","117,047","114,758","113,822","112,487","110,581","107,383"
경상북도 예천군,9,9,경상북도,예천군,"59,885","58,081","55,746","53,649","52,132","50,951","50,218","48,866","47,993","47,306","47,049","46,579","46,027","45,573","45,104","44,674","46,166","49,253","53,274","55,100","55,613","55,739","55,755","55,325","54,609"
경상북도 봉화군,11,9,경상북도,봉화군,"42,865","41,364","39,852","39,439","37,526","36,599","35,608","35,046","34,628","34,297","34,567","34,192","33,934","33,894","34,023","33,808","33,539","33,259","32,843","32,150","31,494","30,762","30,139","29,603","28,836"
경상북도 울진군,12,9,경상북도,울진군,"66,298","65,688","63,511","61,031","58,590","56,707","55,076","53,955","53,042","52,529","52,430","52,045","51,844","51,953","52,104","51,885","51,738","50,974","50,036","49,314","48,716","47,858","47,030","46,669","46,124"
경상북도 울릉군,13,6,경상북도,울릉군,"10,241","9,944","9,615","9,245","9,191","9,538","10,235","10,125","10,168","10,325","10,701","10,742","10,673","10,524","10,264","10,153","10,001","9,975","9,832","9,617","9,077","8,867","8,996","9,077","9,099"
경상남도 창원시,7,18,경상남도,창원시,"1,086,209","1,091,863","1,087,686","1,090,359","1,085,802","1,086,530","1,086,839","1,082,843","1,083,292","1,080,441","1,090,181","1,091,881","1,091,471","1,083,731","1,075,168","1,070,064","1,063,907","1,057,032","1,053,601","1,044,740","1,036,738","1,032,741","1,021,487","1,009,038","999,858"
경상남도 진주시,6,17,경상남도,진주시,"341,822","339,906","339,943","337,319","337,425","336,234","333,554","330,756","331,222","331,720","335,037","335,502","337,314","337,071","340,241","344,426","346,739","346,681","345,987","347,334","348,096","347,097","343,782","341,074","338,785"
경상남도 통영시,8,20,경상남도,통영시,"136,864","135,547","134,107","133,420","132,959","132,795","133,127","134,431","136,275","137,415","140,297","140,195","139,347","139,719","139,439","139,168","138,160","135,833","133,720","131,404","128,293","125,383","122,681","120,551","118,481"
경상남도 사천시,6,18,경상남도,사천시,"119,326","119,305","117,076","114,556","112,670","111,293","112,300","112,499","112,828","112,724","114,148","114,133","115,321","116,851","116,485","115,452","114,912","114,252","113,888","111,925","111,105","109,953","109,369","109,030","108,504"
경상남도 김해시,8,19,경상남도,김해시,"343,617","353,768","390,292","407,368","427,432","443,017","453,728","464,964","477,572","492,413","503,348","507,062","513,260","522,049","527,240","528,865","529,422","532,132","533,672","542,455","542,338","537,673","535,129","533,659","531,676"
경상남도 밀양시,8,16,경상남도,밀양시,"124,574","122,999","120,342","117,732","115,459","113,636","112,025","111,473","110,858","110,170","110,479","109,329","108,755","108,342","107,765","107,896","108,354","107,898","106,744","105,552","104,831","103,525","102,945","102,084","100,691"
경상남도 거제시,9,20,경상남도,거제시,"174,981","178,980","182,035","186,208","190,141","195,609","201,412","208,208","217,211","225,522","228,355","232,787","236,944","242,077","248,287","255,828","257,183","254,073","250,516","248,276","245,754","241,216","236,662","234,038","232,972"
경상남도 양산시,8,17,경상남도,양산시,"193,552","200,694","205,958","210,424","213,695","222,299","226,425","231,956","243,012","250,387","260,239","266,403","270,460","279,565","292,376","301,291","317,037","338,535","348,639","350,759","352,229","354,726","353,792","355,122","359,531"
경상남도 의령군,7,16,경상남도,의령군,"34,490","33,494","32,751","32,766","32,371","31,099","31,625","31,418","30,734","30,496","30,162","30,045","30,329","29,417","29,209","28,544","28,111","27,849","27,667","27,168","26,800","26,322","26,061","25,475","25,150"
경상남도 함안군,7,17,경상남도,함안군,"64,846","65,368","64,318","63,435","62,081","61,376","63,460","64,865","66,050","66,582","67,207","66,971","67,425","67,667","68,741","69,156","68,937","68,207","67,025","65,700","64,182","62,547","61,456","60,203","58,842"
경상남도 창녕군,7,15,경상남도,창녕군,"73,019","71,047","69,220","67,313","66,074","64,672","63,476","62,255","61,603","61,252","61,714","62,490","62,966","63,447","63,502","63,817","63,982","64,101","63,396","62,331","61,301","60,129","58,372","57,083","56,085"
경상남도 고성군,7,19,경상남도,고성군,"63,423","62,097","60,374","58,642","57,400","56,189","55,309","55,393","55,950","57,100","57,231","57,264","56,906","56,369","55,916","55,284","54,703","54,060","53,243","52,276","51,361","50,478","50,448","49,468","48,005"
경상남도 남해군,6,19,경상남도,남해군,"59,762","57,916","55,958","54,392","53,129","51,825","50,792","55,026","50,698","50,244","49,328","50,242","48,223","47,244","46,638","45,865","45,129","44,642","43,990","43,622","42,958","42,266","41,579","40,780","39,832"
경상남도 하동군,5,19,경상남도,하동군,"59,556","60,298","56,777","58,010","54,881","53,131","52,898","55,526","53,515","52,010","51,509","53,975","50,806","50,177","49,223","50,259","49,622","48,831","47,533","46,574","44,785","43,449","42,465","41,606","40,765"
경상남도 산청군,5,18,경상남도,산청군,"40,997","39,863","38,726","37,783","36,849","36,294","35,704","35,274","35,043","34,921","35,591","35,651","35,691","35,935","35,849","36,071","36,098","36,340","35,952","35,417","34,857","34,360","34,028","33,752","33,259"
경상남도 함양군,6,16,경상남도,함양군,"46,376","45,184","43,982","42,760","41,922","41,535","41,162","40,637","40,447","40,626","41,197","41,081","40,714","40,692","40,584","40,339","40,241","40,175","40,044","39,637","39,080","38,310","37,708","36,945","36,131"
경상남도 거창군,6,15,경상남도,거창군,"69,744","68,574","67,224","66,370","65,615","64,735","63,917","63,979","63,268","63,180","63,421","63,146","63,103","63,177","63,137","63,232","63,308","62,763","62,455","62,179","61,502","61,073","60,387","60,047","59,588"
경상남도 합천군,7,14,경상남도,합천군,"61,255","59,599","57,649","60,160","57,909","58,162","55,104","55,450","55,677","52,973","51,092","50,608","50,279","50,290","50,457","49,145","48,026","47,000","45,916","45,204","44,006","42,935","42,142","41,203","40,225"
제주특별자치도 제주시,4,24,제주특별자치도,제주시,"378,762","384,515","390,414","393,952","397,983","400,701","403,601","405,458","407,498","410,378","417,539","422,790","429,656","438,165","448,834","459,876","470,665","478,700","485,946","489,405","492,466","493,096","493,389","491,654","488,348"
제주특별자치도 서귀포시,4,25,제주특별자치도,서귀포시,"163,606","162,374","160,417","158,345","157,379","156,868","154,895","153,800","153,120","152,285","153,716","153,366","154,057","155,641","158,512","164,519","170,932","178,383","181,245","181,584","182,169","183,663","184,770","183,598","182,020"
범례,14,12,범례,범례,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
